"FID catalogue Schmidt 2026"|"GEMEINDE"|"KREIS"|"BUNDESLAND"|"LAND"
232|"Frankfurt (Oder)"|"Frankfurt (Oder)"|"Brandenburg"|"Deutschland"
233|"Frankfurt (Oder)"|"Frankfurt (Oder)"|"Brandenburg"|"Deutschland"
234|"Frankfurt (Oder)"|"Frankfurt (Oder)"|"Brandenburg"|"Deutschland"
235|"Gmina Dobra"|"pow. Policki"|"Woj. Zachodniopomorskie"|"Polen"
236|"Gmina Dobra"|"pow. Policki"|"Woj. Zachodniopomorskie"|"Polen"
237|"Gmina Dobra"|"pow. Policki"|"Woj. Zachodniopomorskie"|"Polen"
238|"Gmina Przelewice"|"pow. Pyrzycki"|"Woj. Zachodniopomorskie"|"Polen"
239|"Gmina Pyrzyce"|"pow. Pyrzycki"|"Woj. Zachodniopomorskie"|"Polen"
240|"Friesack"|"Havelland"|"Brandenburg"|"Deutschland"
241|"Sabrodt"|"Oder-Spree"|"Brandenburg"|"Deutschland"
242|"Korsze"|"pow. Kętrzyński"|"Woj. Warmińsko-Mazurskie"|"Polen"
243|"Gmina Gubin"|"pow. Krosno Odrzańskie"|"Woj. Lubuskie"|"Polen"
244|"Lietzow"|"Kreis Rügen"|"MVP"|"Deutschland"
245|"Drebkau"|"Spree-Neiße"|"Brandenburg"|"Deutschland"
246|"Gmina Międzyrzecz"|"pow. Międzyrzecki"|"Woj. Lubuskie"|"Polen"
247|"Gmina Poznań"|"pow. Poznanski"|"Woj. Wielkopolskie"|"Polen"
248|"Gmina Poznań"|"pow. Poznanski"|"Woj. Wielkopolskie"|"Polen"
249|"Gmina Dąbrowa"|"pow. Mogileński"|"Woj. Kujawsko-Pomorskie"|"Polen"
250|"Altfriesack"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
251|"Altranft"|"Märkisch-Oderland"|"Brandenburg"|"Deutschland"
252|"Bad Freienwalde"|"Märkisch-Oderland"|"Brandenburg"|"Deutschland"
253|"Beeskow"|"Oder-Spree"|"Brandenburg"|"Deutschland"
254|"Blankenburg"|"Uckermark"|"Brandenburg"|"Deutschland"
255|"Bornim"|"Potsdam"|"Brandenburg"|"Deutschland"
256|"Brüssow"|"Uckermark"|"Brandenburg"|"Deutschland"
257|"Dyrotz"|"Havelland"|"Brandenburg"|"Deutschland"
258|"Flemsdorf"|"Uckermark"|"Brandenburg"|"Deutschland"
259|"Frankfurt"|"Frankfurt (Oder)"|"Brandenburg"|"Deutschland"
260|"Friesack"|"Havelland"|"Brandenburg"|"Deutschland"
261|"Kirchmöser"|"Brandenburg (Havel)"|"Brandenburg"|"Deutschland"
262|"Kossenblatt"|"Oder-Spree"|"Brandenburg"|"Deutschland"
263|"Nauen"|"Havelland"|"Brandenburg"|"Deutschland"
264|"Niederlandin"|"Uckermark"|"Brandenburg"|"Deutschland"
265|"Potsdam"|"Potsdam"|"Brandenburg"|"Deutschland"
266|"Potsdam"|"Potsdam"|"Brandenburg"|"Deutschland"
267|"Prenzlau"|"Uckermark"|"Brandenburg"|"Deutschland"
268|"Ribbeck"|"Havelland"|"Brandenburg"|"Deutschland"
269|"Ribbeck"|"Havelland"|"Brandenburg"|"Deutschland"
270|"Treuenbrietzen"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
271|"Wachow"|"Havelland"|"Brandenburg"|"Deutschland"
272|"Wachow"|"Havelland"|"Brandenburg"|"Deutschland"
273|"Wachow"|"Havelland"|"Brandenburg"|"Deutschland"
274|"Wernsdorf"|"Dahme-Spreewald"|"Brandenburg"|"Deutschland"
275|"Wustermark"|"Havelland"|"Brandenburg"|"Deutschland"
276|"Zeestow"|"Havelland"|"Brandenburg"|"Deutschland"
277|"Zeestow"|"Havelland"|"Brandenburg"|"Deutschland"
278|"Zeestow"|"Havelland"|"Brandenburg"|"Deutschland"
279|"Biesenbrow"|"Uckermark"|"Brandenburg"|"Deutschland"
280|"Blankenburg"|"Uckermark"|"Brandenburg"|"Deutschland"
281|"Bredow"|"Havelland"|"Brandenburg"|"Deutschland"
282|"Brüssow"|"Uckermark"|"Brandenburg"|"Deutschland"
283|"Döberitz bei Premnitz"|"Havelland"|"Brandenburg"|"Deutschland"
284|"Dyrotz"|"Havelland"|"Brandenburg"|"Deutschland"
285|"Elsterwerda"|"Elbe-Elster"|"Brandenburg"|"Deutschland"
286|"Flatow"|"Oberhavel"|"Brandenburg"|"Deutschland"
287|"Flemsdorf"|"Uckermark"|"Brandenburg"|"Deutschland"
288|"Gohlitz"|"Havelland"|"Brandenburg"|"Deutschland"
289|"Grube"|"Potsdam"|"Brandenburg"|"Deutschland"
290|"Hohenfinow"|"Barnim"|"Brandenburg"|"Deutschland"
291|"Hoppenrade"|"Havelland"|"Brandenburg"|"Deutschland"
292|"Jüterbog"|"Teltow-Fläming"|"Brandenburg"|"Deutschland"
293|"Ketzin"|"Havelland"|"Brandenburg"|"Deutschland"
294|"Mötzow"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
295|"Nauen"|"Havelland"|"Brandenburg"|"Deutschland"
296|"Neuendorf"|"Brandenburg (Havel)"|"Brandenburg"|"Deutschland"
297|"Niebede"|"Havelland"|"Brandenburg"|"Deutschland"
298|"Niederlandin"|"Uckermark"|"Brandenburg"|"Deutschland"
299|"Potsdam"|"Potsdam"|"Brandenburg"|"Deutschland"
300|"Potsdam"|"Potsdam"|"Brandenburg"|"Deutschland"
301|"Rohrbeck"|"Teltow-Fläming"|"Brandenburg"|"Deutschland"
302|"Satzkorn"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
303|"Schönfeld bei Prenzlau"|"Uckermark"|"Brandenburg"|"Deutschland"
304|"Wustermark"|"Havelland"|"Brandenburg"|"Deutschland"
305|"Eichhorst"|"Barnim"|"Brandenburg"|"Deutschland"
306|"Brandenburg-Altstadt"|"Brandenburg (Havel)"|"Brandenburg"|"Deutschland"
307|"Brandenburg-Neustadt"|"Brandenburg (Havel)"|"Brandenburg"|"Deutschland"
308|"Brandenburg-Altstadt"|"Brandenburg (Havel)"|"Brandenburg"|"Deutschland"
309|"Brandenburg-Neustadt"|"Brandenburg (Havel)"|"Brandenburg"|"Deutschland"
310|"Gräbendorf"|"Dahme-Spreewald"|"Brandenburg"|"Deutschland"
311|"Gräbendorf"|"Dahme-Spreewald"|"Brandenburg"|"Deutschland"
312|"Mittenwalde"|"Dahme-Spreewald"|"Brandenburg"|"Deutschland"
313|"Schulzendorf"|"Dahme-Spreewald"|"Brandenburg"|"Deutschland"
314|"Zaue"|"Dahme-Spreewald"|"Brandenburg"|"Deutschland"
315|"Zaue"|"Dahme-Spreewald"|"Brandenburg"|"Deutschland"
316|"Reichwalde"|"Dahme-Spreewald"|"Brandenburg"|"Deutschland"
317|"Mittenwalde"|"Dahme-Spreewald"|"Brandenburg"|"Deutschland"
318|"Waltersdorf bei Kö.Wusterhausen"|"Dahme-Spreewald"|"Brandenburg"|"Deutschland"
319|"Deutsch Wusterhausen"|"Dahme-Spreewald"|"Brandenburg"|"Deutschland"
321|"Mittenwalde"|"Dahme-Spreewald"|"Brandenburg"|"Deutschland"
322|"Hohenbrück"|"Dahme-Spreewald"|"Brandenburg"|"Deutschland"
323|"Krausnick"|"Dahme-Spreewald"|"Brandenburg"|"Deutschland"
324|"Groß Köris"|"Dahme-Spreewald"|"Brandenburg"|"Deutschland"
325|"Töpchin"|"Dahme-Spreewald"|"Brandenburg"|"Deutschland"
326|"Teurow"|"Dahme-Spreewald"|"Brandenburg"|"Deutschland"
327|"Schmielsdorf"|"Elbe-Elster"|"Brandenburg"|"Deutschland"
328|"Elsterwerda"|"Elbe-Elster"|"Brandenburg"|"Deutschland"
329|"Buchhain"|"Elbe-Elster"|"Brandenburg"|"Deutschland"
332|"Hertefeld"|"Havelland"|"Brandenburg"|"Deutschland"
333|"Vietznitz"|"Havelland"|"Brandenburg"|"Deutschland"
334|"Schönwalde"|"Havelland"|"Brandenburg"|"Deutschland"
336|"Wagenitz"|"Havelland"|"Brandenburg"|"Deutschland"
337|"Friedrichsbruch"|"Havelland"|"Brandenburg"|"Deutschland"
338|"Rathenow"|"Havelland"|"Brandenburg"|"Deutschland"
339|"Rathenow-Neue Schleuse"|"Havelland"|"Brandenburg"|"Deutschland"
340|"Strodehne"|"Havelland"|"Brandenburg"|"Deutschland"
341|"Schönwalde"|"Havelland"|"Brandenburg"|"Deutschland"
342|"Buckow"|"Havelland"|"Brandenburg"|"Deutschland"
343|"Wansdorf"|"Havelland"|"Brandenburg"|"Deutschland"
344|"Strodehne"|"Havelland"|"Brandenburg"|"Deutschland"
345|"Rübehorst"|"Havelland"|"Brandenburg"|"Deutschland"
346|"Vietznitz"|"Havelland"|"Brandenburg"|"Deutschland"
347|"Wustermark"|"Havelland"|"Brandenburg"|"Deutschland"
348|"Hoppenrade"|"Havelland"|"Brandenburg"|"Deutschland"
349|"Rhinow"|"Havelland"|"Brandenburg"|"Deutschland"
